h,alpha,aic
16,0.4358974358974359,9.225633494536643
16,0.4615384615384615,9.226877821216723
16,0.48717948717948717,9.227580621186364
16,0.5128205128205128,9.228115533147461
16,0.5384615384615384,9.229034821041878
16,0.5641025641025641,9.231918976173096
16,0.5897435897435898,9.231046587764023
16,0.6153846153846154,9.232556542046451
16,0.641025641025641,9.233597419392492
16,0.6666666666666666,9.234336110764486
16,0.6923076923076923,9.234752635929006
16,0.717948717948718,9.234401415931671
16,0.7435897435897436,9.235375876414995
16,0.7692307692307692,9.238648485822308
16,0.7948717948717948,9.240572637197301
16,0.8205128205128205,9.238842691855625
16,0.8461538461538461,9.238561117925968
16,0.8717948717948718,9.239908328527425
16,0.8974358974358974,9.2410545023717
16,0.923076923076923,9.242329746313839
16,0.9487179487179487,9.241859021103547
16,0.9743589743589743,9.243422866497673
16,1.0,9.244926538542428
17,0.0,9.251350343380947
17,0.02564102564102564,9.25039927399755
17,0.05128205128205128,9.253003919563861
17,0.07692307692307693,9.252829818971328
17,0.10256410256410256,9.252212184168995
17,0.1282051282051282,9.254283362883047
17,0.15384615384615385,9.25464010525193
17,0.1794871794871795,9.255767135252427
17,0.20512820512820512,9.25723802685845
17,0.23076923076923075,9.256578652779876
17,0.2564102564102564,9.257328489952377
17,0.28205128205128205,9.259334351735404
17,0.3076923076923077,9.2599382806852
17,0.3333333333333333,9.26071035755217
17,0.358974358974359,9.261315045469777
